Sensor,k,alpha
1,4182.246662557924,-0.10557063413478815
2,13769.200900389222,-0.408882337967347
3,16327.864970283403,-0.501375325490748
4,6655.190410471658,-0.36418056246150654
5,6293.641507118585,-0.24982915344413686
6,11100.630366033394,-0.22665143768754817
7,6402.56504371361,-0.2470506147962616
8,6111.616032372273,-0.1594762694921317
9,3753.8790016035828,-0.09568358909628738
10,6152.259387859604,-0.1088549320790123
11,8819.65151814336,-0.30562424957063594
12,6235.4714390388,-0.2109122880792395
13,8433.89184445682,-0.23614048695300133
14,10272.186526961059,-0.32069206442354936
15,26805.44102765629,-0.8340464058430511
16,9700.515382011763,-0.3237063175327807
17,33543.98546199175,-0.8195022478448704
18,17477.80566701583,-0.7566346348792851
19,31149.852771289254,-0.6371681969177942
20,34640.501506233675,-0.7233041814800357
21,8149.861115287349,-0.4139242253147598
22,53185.93325644069,-0.9294479929405938
23,10295.1571427075,-0.1028853110984568
24,26660.54537047747,-0.5987696742596945
25,18726.941392994257,-0.6127998666613973
26,15520.377287514435,-0.5119666943158023
27,33325.00793324587,-0.6274694646335846
28,11435.234233682731,-0.14628807823315468
29,5577.6327824453165,-0.1310549062250168
30,21603.812544017666,-0.216567631247842
31,7859.1016337444,-0.12795614394170787
32,57479.37993842031,-0.46626074773576764
33,31877.553737861508,-0.2645625982227532
34,14801.34940166249,-0.2667265198575729
35,7861.540484449403,-0.14972791766959995
